brand,city,dealer_name,address,link_maps
toyota,medan,AUTO2000 Amplas,"Jl. Sisingamangaraja Km. 9,8 Amplas, Medan, 20148","http://maps.google.com/?q=3.5325984,98.7068269"
toyota,palembang,Auto2000 Plaju,"Jl. Jend. A. Yani No. 5502, Palembang","http://maps.google.com/?q=-2.990934,104.756556"
toyota,pekanbaru,Agung Automall Pekanbaru I,"Jl. Dr Sutomo   13, Pekanbaru, 28143","http://maps.google.com/?q=0.536291,101.456525"
toyota,semarang,Nasmoco Gombel,"Jl. Setiabudi No. 22, Semarang, 50261","http://maps.google.com/?q=-7.00894,110.470018"
toyota,surabaya,Auto2000 A. Yani,"Jl. Jend. Ahmad Yani No. 210, Surabaya, 60235","http://maps.google.com/?q=-7.2465114,112.7474127"
toyota,surakarta,Nasmoco Slamet Riyadi,"Jl. Slamet Riyadi 558, Surakarta, 57144","http://maps.google.com/?q=-7.397729,111.3871317"
toyota,tangerang,Auto2000 Pondok Jagung,"Jl. Raya Serpong Km. 7, Pondok Jagung, Tangerang, 15310","http://maps.google.com/?q=-8.495994,140.394501"
toyota,tangerang selatan,Tunas Toyota Ciputat,"Jl. Dewi Sartika 187, Ciputat, Tangerang Selatan, 15411","http://maps.google.com/?q=-6.208402709,106.849"
toyota,yogyakarta,Nasmoco Janti,"Jl. Ringroad Timur 58 A Banguntapan Bantul, Yogyakarta, 55198","http://maps.google.com/?q=-6.209,106.849"
toyota,badung,AAM Kuta,"Jl. Sunset Road, Seminyak - Kuta, Badung","http://maps.google.com/?q=-8.689112,115.172025"
toyota,balikpapan,Auto2000 Balikpapan,"Ji. Jend MT Haryono Rt 31 67, Balikpapan","http://maps.google.com/?q=1.117606,103.937509"
toyota,banda aceh,Dunia Barusa Banda Aceh,"Jl. DR. Mr. Teuku H. Muhammad Hasan No. 8, Banda Aceh","http://maps.google.com/?q=5.55,95.316667"
